symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
NKLA,Nano-Cap,"Feb 14, 2025",0.63,0.64,0.54,0.54,0.54,-10.30%,"15,096,679"
NKLA,Nano-Cap,"Feb 13, 2025",0.69,0.69,0.57,0.60,0.60,-12.80%,"15,884,515"
NKLA,Nano-Cap,"Feb 12, 2025",0.66,0.75,0.64,0.69,0.69,3.81%,"28,224,517"
NKLA,Nano-Cap,"Feb 11, 2025",0.49,0.70,0.45,0.67,0.67,33.01%,"70,392,701"
NKLA,Nano-Cap,"Feb 10, 2025",0.47,0.53,0.46,0.50,0.50,13.16%,"31,649,912"
NKLA,Nano-Cap,"Feb 7, 2025",0.46,0.55,0.43,0.44,0.44,-41.12%,"52,437,658"
NKLA,Nano-Cap,"Feb 6, 2025",0.79,0.82,0.75,0.75,0.75,-4.41%,"11,631,853"
NKLA,Nano-Cap,"Feb 5, 2025",0.77,0.86,0.77,0.79,0.79,-0.72%,"7,744,683"
NKLA,Nano-Cap,"Feb 4, 2025",0.73,0.81,0.73,0.79,0.79,10.11%,"13,893,069"
NKLA,Nano-Cap,"Feb 3, 2025",0.75,0.75,0.71,0.72,0.72,-8.86%,"7,718,086"
NKLA,Nano-Cap,"Jan 31, 2025",0.82,0.82,0.77,0.79,0.79,-2.32%,"7,082,172"
NKLA,Nano-Cap,"Jan 30, 2025",0.76,0.87,0.75,0.81,0.81,5.11%,"12,497,317"
NKLA,Nano-Cap,"Jan 29, 2025",0.81,0.83,0.76,0.77,0.77,-8.10%,"12,138,045"
NKLA,Nano-Cap,"Jan 28, 2025",0.87,0.89,0.81,0.84,0.84,-5.19%,"12,025,175"
NKLA,Nano-Cap,"Jan 27, 2025",0.85,0.95,0.85,0.88,0.88,-3.26%,"13,415,029"
NKLA,Nano-Cap,"Jan 24, 2025",0.85,0.98,0.85,0.91,0.91,8.05%,"42,012,618"
NKLA,Nano-Cap,"Jan 23, 2025",1.17,1.17,0.76,0.85,0.85,-27.78%,"63,487,188"
NKLA,Nano-Cap,"Jan 22, 2025",1.22,1.23,1.15,1.17,1.17,-3.70%,"9,471,284"
NKLA,Nano-Cap,"Jan 21, 2025",1.32,1.35,1.20,1.22,1.22,-9.33%,"9,145,269"
NKLA,Nano-Cap,"Jan 17, 2025",1.23,1.40,1.22,1.34,1.34,10.74%,"23,987,298"
NKLA,Nano-Cap,"Jan 16, 2025",1.24,1.28,1.20,1.21,1.21,-1.63%,"6,454,030"
NKLA,Nano-Cap,"Jan 15, 2025",1.15,1.30,1.14,1.23,1.23,9.82%,"11,514,036"
NKLA,Nano-Cap,"Jan 14, 2025",1.18,1.22,1.09,1.12,1.12,-1.75%,"7,184,967"
NKLA,Nano-Cap,"Jan 13, 2025",1.15,1.16,1.07,1.14,1.14,-3.39%,"11,022,402"
NKLA,Nano-Cap,"Jan 10, 2025",1.24,1.29,1.17,1.18,1.18,-3.28%,"10,494,645"
NKLA,Nano-Cap,"Jan 8, 2025",1.37,1.39,1.21,1.22,1.22,-14.08%,"15,694,775"
NKLA,Nano-Cap,"Jan 7, 2025",1.60,1.69,1.41,1.42,1.42,-11.25%,"16,699,354"
NKLA,Nano-Cap,"Jan 6, 2025",1.77,1.79,1.53,1.60,1.60,-,"28,068,468"
NKLA,Nano-Cap,"Jan 3, 2025",1.37,1.67,1.25,1.60,1.60,24.03%,"41,313,618"
NKLA,Nano-Cap,"Jan 2, 2025",1.25,1.39,1.19,1.29,1.29,8.40%,"23,541,513"
NKLA,Nano-Cap,"Dec 31, 2024",1.13,1.44,1.11,1.19,1.19,7.21%,"27,368,304"
NKLA,Nano-Cap,"Dec 30, 2024",1.13,1.15,1.08,1.11,1.11,-3.48%,"7,122,383"
NKLA,Nano-Cap,"Dec 27, 2024",1.12,1.22,1.08,1.15,1.15,0.88%,"10,292,285"
NKLA,Nano-Cap,"Dec 26, 2024",1.14,1.16,1.09,1.14,1.14,-0.87%,"14,656,551"
NKLA,Nano-Cap,"Dec 24, 2024",1.15,1.18,1.12,1.15,1.15,-0.86%,"2,701,914"
NKLA,Nano-Cap,"Dec 23, 2024",1.17,1.20,1.12,1.16,1.16,-1.69%,"6,795,469"
NKLA,Nano-Cap,"Dec 20, 2024",1.16,1.23,1.12,1.18,1.18,0.85%,"14,348,353"
NKLA,Nano-Cap,"Dec 19, 2024",1.31,1.32,1.16,1.17,1.17,-6.40%,"10,067,297"
NKLA,Nano-Cap,"Dec 18, 2024",1.22,1.55,1.19,1.25,1.25,3.31%,"20,684,288"
NKLA,Nano-Cap,"Dec 17, 2024",1.17,1.27,1.15,1.21,1.21,2.54%,"7,007,395"
NKLA,Nano-Cap,"Dec 16, 2024",1.39,1.41,1.16,1.18,1.18,-17.48%,"17,477,609"
NKLA,Nano-Cap,"Dec 13, 2024",1.54,1.58,1.42,1.43,1.43,-8.92%,"12,276,217"
NKLA,Nano-Cap,"Dec 12, 2024",1.60,1.75,1.32,1.57,1.57,-1.26%,"17,572,837"
NKLA,Nano-Cap,"Dec 11, 2024",1.56,1.64,1.50,1.59,1.59,1.27%,"4,510,005"
NKLA,Nano-Cap,"Dec 10, 2024",1.52,1.63,1.46,1.57,1.57,3.97%,"7,937,863"
NKLA,Nano-Cap,"Dec 9, 2024",1.52,1.62,1.40,1.51,1.51,-6.21%,"17,141,075"
NKLA,Nano-Cap,"Dec 6, 2024",1.71,1.80,1.60,1.61,1.61,-2.42%,"12,776,586"
NKLA,Nano-Cap,"Dec 5, 2024",1.80,1.94,1.65,1.65,1.65,-6.25%,"9,451,178"
NKLA,Nano-Cap,"Dec 4, 2024",1.69,1.76,1.65,1.76,1.76,5.39%,"6,919,888"
NKLA,Nano-Cap,"Dec 3, 2024",1.80,1.82,1.64,1.67,1.67,-9.24%,"13,126,868"
NKLA,Nano-Cap,"Dec 2, 2024",2.00,2.04,1.81,1.84,1.84,-8.46%,"11,675,048"
NKLA,Nano-Cap,"Nov 29, 2024",1.98,2.02,1.92,2.01,2.01,2.55%,"5,207,828"
NKLA,Nano-Cap,"Nov 27, 2024",1.95,2.03,1.89,1.96,1.96,0.51%,"6,041,719"
NKLA,Nano-Cap,"Nov 26, 2024",2.09,2.09,1.91,1.95,1.95,-7.14%,"7,163,028"
NKLA,Nano-Cap,"Nov 25, 2024",2.03,2.24,1.96,2.10,2.10,3.96%,"11,279,827"
NKLA,Nano-Cap,"Nov 22, 2024",2.03,2.07,1.95,2.02,2.02,-0.49%,"5,725,530"
NKLA,Nano-Cap,"Nov 21, 2024",1.92,2.04,1.83,2.03,2.03,6.28%,"6,427,550"
NKLA,Nano-Cap,"Nov 20, 2024",1.92,2.07,1.88,1.91,1.91,-1.55%,"5,563,835"
NKLA,Nano-Cap,"Nov 19, 2024",2.00,2.08,1.90,1.94,1.94,-3.96%,"6,092,324"
NKLA,Nano-Cap,"Nov 18, 2024",2.32,2.32,1.92,2.02,2.02,-13.68%,"13,397,982"
NKLA,Nano-Cap,"Nov 15, 2024",2.53,2.57,2.32,2.34,2.34,-2.90%,"8,605,457"
NKLA,Nano-Cap,"Nov 14, 2024",3.12,3.17,2.16,2.41,2.41,-22.76%,"19,457,555"
NKLA,Nano-Cap,"Nov 13, 2024",3.11,3.26,3.09,3.12,3.12,0.32%,"2,931,698"
NKLA,Nano-Cap,"Nov 12, 2024",3.23,3.24,3.03,3.11,3.11,-4.31%,"2,549,447"
NKLA,Nano-Cap,"Nov 11, 2024",3.01,3.35,2.96,3.25,3.25,7.62%,"4,728,170"
NKLA,Nano-Cap,"Nov 8, 2024",3.14,3.14,2.98,3.02,3.02,-1.95%,"2,966,334"
NKLA,Nano-Cap,"Nov 7, 2024",3.21,3.35,3.07,3.08,3.08,-1.28%,"3,805,049"
NKLA,Nano-Cap,"Nov 6, 2024",3.12,3.25,2.91,3.12,3.12,-2.80%,"4,889,105"
NKLA,Nano-Cap,"Nov 5, 2024",3.29,3.35,3.19,3.21,3.21,-2.43%,"3,847,277"
NKLA,Nano-Cap,"Nov 4, 2024",3.75,3.76,3.24,3.29,3.29,-12.38%,"10,047,762"
NKLA,Nano-Cap,"Nov 1, 2024",3.94,3.94,3.75,3.76,3.76,-4.45%,"4,707,508"
NKLA,Nano-Cap,"Oct 31, 2024",4.16,4.26,3.80,3.93,3.93,-7.09%,"6,485,227"
NKLA,Nano-Cap,"Oct 30, 2024",4.42,4.43,4.17,4.23,4.23,-3.42%,"5,341,028"
NKLA,Nano-Cap,"Oct 29, 2024",5.35,5.54,4.26,4.38,4.38,-17.51%,"10,425,799"
NKLA,Nano-Cap,"Oct 28, 2024",4.50,5.49,4.43,5.31,5.31,20.14%,"10,812,099"
NKLA,Nano-Cap,"Oct 25, 2024",4.18,4.50,4.17,4.42,4.42,4.74%,"3,650,707"
NKLA,Nano-Cap,"Oct 24, 2024",4.02,4.29,4.01,4.22,4.22,6.30%,"2,627,550"
NKLA,Nano-Cap,"Oct 23, 2024",4.19,4.22,3.92,3.97,3.97,-7.03%,"3,402,317"
NKLA,Nano-Cap,"Oct 22, 2024",4.06,4.36,4.02,4.27,4.27,5.69%,"4,994,908"
NKLA,Nano-Cap,"Oct 21, 2024",3.81,4.06,3.80,4.04,4.04,5.76%,"4,105,644"
NKLA,Nano-Cap,"Oct 18, 2024",3.87,3.88,3.72,3.82,3.82,-0.52%,"3,801,225"
NKLA,Nano-Cap,"Oct 17, 2024",4.11,4.15,3.81,3.84,3.84,-7.69%,"4,976,835"
NKLA,Nano-Cap,"Oct 16, 2024",4.26,4.34,4.12,4.16,4.16,-2.12%,"3,040,793"
NKLA,Nano-Cap,"Oct 15, 2024",4.23,4.32,4.18,4.25,4.25,0.24%,"1,601,275"
NKLA,Nano-Cap,"Oct 14, 2024",4.28,4.30,4.15,4.24,4.24,-1.40%,"1,686,740"
NKLA,Nano-Cap,"Oct 11, 2024",4.32,4.54,4.29,4.30,4.30,-1.15%,"2,585,194"
NKLA,Nano-Cap,"Oct 10, 2024",4.48,4.48,4.31,4.35,4.35,-2.90%,"1,788,211"
NKLA,Nano-Cap,"Oct 9, 2024",4.50,4.50,4.36,4.48,4.48,-0.44%,"1,869,467"
NKLA,Nano-Cap,"Oct 8, 2024",4.73,4.74,4.45,4.50,4.50,-7.02%,"2,575,183"
NKLA,Nano-Cap,"Oct 7, 2024",5.05,5.09,4.62,4.84,4.84,-3.78%,"3,994,986"
NKLA,Nano-Cap,"Oct 4, 2024",5.25,5.40,4.96,5.03,5.03,-3.27%,"3,603,622"
NKLA,Nano-Cap,"Oct 3, 2024",5.40,5.53,5.13,5.20,5.20,-6.47%,"4,248,027"
NKLA,Nano-Cap,"Oct 2, 2024",4.86,5.95,4.85,5.56,5.56,19.57%,"16,305,384"
NKLA,Nano-Cap,"Oct 1, 2024",4.58,4.97,4.58,4.65,4.65,1.53%,"4,942,357"
NKLA,Nano-Cap,"Sep 30, 2024",4.27,4.73,4.25,4.58,4.58,6.76%,"4,238,921"
NKLA,Nano-Cap,"Sep 27, 2024",4.19,4.50,4.16,4.29,4.29,2.63%,"3,748,368"
NKLA,Nano-Cap,"Sep 26, 2024",4.39,4.40,4.10,4.18,4.18,-3.24%,"3,522,349"
NKLA,Nano-Cap,"Sep 25, 2024",4.65,4.67,4.26,4.32,4.32,-7.69%,"4,137,544"
NKLA,Nano-Cap,"Sep 24, 2024",4.80,4.89,4.68,4.68,4.68,-2.09%,"2,555,770"
NKLA,Nano-Cap,"Sep 23, 2024",5.06,5.06,4.78,4.78,4.78,-4.97%,"2,345,700"
